Creato come nuovo set dati;Sample 013 By Administrator Date martedì, novembre 22 2022
cm-1;%T
3650.00;87.45
3649.00;87.48
3648.00;87.50
3647.00;87.46
3646.00;87.37
3645.00;87.25
3644.00;87.13
3643.00;87.04
3642.00;87.00
3641.00;86.98
3640.00;86.98
3639.00;86.95
3638.00;86.91
3637.00;86.87
3636.00;86.83
3635.00;86.82
3634.00;86.83
3633.00;86.88
3632.00;86.92
3631.00;86.93
3630.00;86.89
3629.00;86.84
3628.00;86.82
3627.00;86.80
3626.00;86.74
3625.00;86.66
3624.00;86.61
3623.00;86.59
3622.00;86.58
3621.00;86.55
3620.00;86.52
3619.00;86.52
3618.00;86.53
3617.00;86.53
3616.00;86.49
3615.00;86.43
3614.00;86.37
3613.00;86.35
3612.00;86.36
3611.00;86.35
3610.00;86.31
3609.00;86.24
3608.00;86.16
3607.00;86.09
3606.00;86.04
3605.00;86.01
3604.00;85.99
3603.00;85.97
3602.00;85.96
3601.00;85.94
3600.00;85.93
3599.00;85.94
3598.00;85.95
3597.00;85.94
3596.00;85.91
3595.00;85.86
3594.00;85.83
3593.00;85.84
3592.00;85.87
3591.00;85.90
3590.00;85.91
3589.00;85.90
3588.00;85.88
3587.00;85.87
3586.00;85.84
3585.00;85.80
3584.00;85.75
3583.00;85.69
3582.00;85.64
3581.00;85.62
3580.00;85.59
3579.00;85.57
3578.00;85.53
3577.00;85.48
3576.00;85.45
3575.00;85.44
3574.00;85.45
3573.00;85.48
3572.00;85.51
3571.00;85.54
3570.00;85.54
3569.00;85.52
3568.00;85.47
3567.00;85.43
3566.00;85.41
3565.00;85.41
3564.00;85.39
3563.00;85.36
3562.00;85.33
3561.00;85.30
3560.00;85.28
3559.00;85.26
3558.00;85.24
3557.00;85.23
3556.00;85.23
3555.00;85.22
3554.00;85.20
3553.00;85.16
3552.00;85.12
3551.00;85.09
3550.00;85.08
3549.00;85.07
3548.00;85.05
3547.00;85.01
3546.00;84.97
3545.00;84.95
3544.00;84.94
3543.00;84.94
3542.00;84.94
3541.00;84.93
3540.00;84.91
3539.00;84.88
3538.00;84.84
3537.00;84.81
3536.00;84.78
3535.00;84.76
3534.00;84.75
3533.00;84.74
3532.00;84.73
3531.00;84.74
3530.00;84.75
3529.00;84.75
3528.00;84.76
3527.00;84.76
3526.00;84.74
3525.00;84.72
3524.00;84.69
3523.00;84.65
3522.00;84.60
3521.00;84.57
3520.00;84.55
3519.00;84.54
3518.00;84.52
3517.00;84.50
3516.00;84.48
3515.00;84.47
3514.00;84.47
3513.00;84.48
3512.00;84.48
3511.00;84.47
3510.00;84.46
3509.00;84.45
3508.00;84.43
3507.00;84.41
3506.00;84.39
3505.00;84.37
3504.00;84.34
3503.00;84.32
3502.00;84.29
3501.00;84.28
3500.00;84.27
3499.00;84.28
3498.00;84.30
3497.00;84.30
3496.00;84.29
3495.00;84.27
3494.00;84.24
3493.00;84.22
3492.00;84.21
3491.00;84.21
3490.00;84.22
3489.00;84.21
3488.00;84.19
3487.00;84.16
3486.00;84.13
3485.00;84.12
3484.00;84.11
3483.00;84.12
3482.00;84.11
3481.00;84.10
3480.00;84.08
3479.00;84.06
3478.00;84.05
3477.00;84.03
3476.00;84.00
3475.00;83.98
3474.00;83.97
3473.00;83.97
3472.00;83.98
3471.00;83.99
3470.00;84.01
3469.00;84.01
3468.00;84.02
3467.00;84.03
3466.00;84.03
3465.00;84.03
3464.00;84.01
3463.00;84.00
3462.00;83.99
3461.00;83.98
3460.00;83.96
3459.00;83.94
3458.00;83.92
3457.00;83.89
3456.00;83.87
3455.00;83.84
3454.00;83.82
3453.00;83.82
3452.00;83.83
3451.00;83.85
3450.00;83.87
3449.00;83.90
3448.00;83.92
3447.00;83.92
3446.00;83.91
3445.00;83.89
3444.00;83.86
3443.00;83.84
3442.00;83.84
3441.00;83.85
3440.00;83.85
3439.00;83.86
3438.00;83.88
3437.00;83.89
3436.00;83.89
3435.00;83.87
3434.00;83.84
3433.00;83.82
3432.00;83.81
3431.00;83.82
3430.00;83.82
3429.00;83.82
3428.00;83.80
3427.00;83.78
3426.00;83.76
3425.00;83.75
3424.00;83.74
3423.00;83.74
3422.00;83.75
3421.00;83.75
3420.00;83.74
3419.00;83.71
3418.00;83.71
3417.00;83.74
3416.00;83.80
3415.00;83.85
3414.00;83.89
3413.00;83.90
3412.00;83.90
3411.00;83.88
3410.00;83.86
3409.00;83.84
3408.00;83.84
3407.00;83.85
3406.00;83.85
3405.00;83.85
3404.00;83.83
3403.00;83.82
3402.00;83.81
3401.00;83.81
3400.00;83.82
3399.00;83.82
3398.00;83.82
3397.00;83.81
3396.00;83.81
3395.00;83.81
3394.00;83.83
3393.00;83.85
3392.00;83.86
